patch1.before,patch2.before,patch1.after,patch2.after,patch1.other.before,patch2.other.before
0,20,0,20,0,0
0,40,0,40,0,0
0,80,0,80,0,0
0,20,0,20,20,0
0,40,0,40,20,0
0,80,0,80,20,0
0,20,0,20,40,0
0,40,0,40,40,0
0,80,0,80,40,0
0,20,0,20,80,0
0,40,0,40,80,0
0,80,0,80,80,0
0,20,0,20,0,0
0,40,0,40,0,0
0,80,0,80,0,0
0,20,0,20,20,0
0,40,0,40,20,0
0,80,10,70,20,0
0,20,0,20,40,0
0,40,10,30,40,0
0,80,10,70,40,0
0,20,0,20,80,0
0,80,0,80,80,0
0,20,10,10,0,0
0,40,10,30,0,0
0,80,20,60,0,0
0,20,10,10,20,0
0,40,10,30,20,0
0,80,10,70,20,0
0,20,0,20,40,0
0,20,0,20,80,0
0,40,0,40,80,0
0,20,10,10,0,0
0,40,20,20,0,0
0,80,20,60,0,0
0,20,0,20,20,0
0,40,10,30,20,0
0,80,20,60,20,0
0,80,0,80,80,0
0,20,0,20,0,0
0,40,0,40,0,0
0,80,0,80,0,0
0,20,0,20,20,0
0,40,10,30,20,0
0,80,10,70,20,0
0,20,0,20,40,0
0,80,20,60,40,0
0,20,0,20,80,0
0,40,0,40,80,0
0,80,10,70,80,0
0,20,0,20,0,0
0,40,0,40,0,0
0,80,0,80,0,0
0,20,10,10,20,0
0,40,10,30,20,0
0,80,20,60,20,0
0,20,0,20,40,0
0,40,10,30,40,0
0,80,20,60,40,0
0,20,0,20,80,0
0,40,0,40,80,0
0,80,10,70,80,0
0,20,0,20,0,0
0,40,0,40,0,0
0,80,0,80,0,0
0,20,0,20,20,0
0,40,10,30,20,0
0,80,20,60,20,0
0,20,0,20,40,0
0,40,0,40,40,0
0,20,0,20,80,0
0,40,10,30,80,0
0,20,0,20,0,0
0,40,0,40,0,0
0,80,0,80,0,0
0,20,0,20,20,0
0,40,10,30,20,0
0,80,20,60,20,0
0,20,10,10,40,0
0,40,10,30,40,0
0,80,30,50,40,0
0,20,0,20,80,0
0,40,10,30,80,0
0,20,0,20,0,0
0,40,0,40,0,0
0,80,0,80,0,0
0,40,10,30,20,0
0,40,0,40,40,0
0,80,0,80,40,0
0,20,0,20,90,0
0,40,10,30,80,0
0,80,20,60,80,0
0,20,0,20,0,0
0,40,0,40,0,0
0,80,0,80,0,0
0,20,20,0,20,0
0,40,0,40,20,0
0,80,0,80,20,0
0,20,0,20,40,0
0,40,0,40,40,0
0,80,0,80,40,0
0,50,0,50,70,0
0,40,10,30,0,0
0,70,0,70,0,0
0,40,0,40,90,20
0,70,20,50,90,0
10,110,40,80,60,0
0,230,10,220,120,20
10,40,10,40,180,20
0,50,10,40,0,0
0,60,0,60,0,0
10,180,70,120,80,10
10,60,30,40,0,0
50,160,90,120,0,0
50,30,40,40,60,0
20,80,20,80,0,0
60,180,90,150,0,0
10,70,10,70,0,0
30,100,40,90,0,0
20,130,30,120,60,20
0,80,0,80,100,50
30,60,30,60,0,0
20,130,30,120,80,0
0,60,10,50,0,0
0,120,20,100,0,0
60,130,70,120,80,20
0,100,0,100,200,70
0,80,10,70,200,70
50,250,60,240,180,20
0,90,30,60,0,0
0,210,50,160,30,0
0,60,20,40,100,0
0,120,20,100,40,0
0,60,10,50,120,20
40,230,40,230,0,0
0,100,20,80,260,150
10,300,10,300,10,70
150,250,160,240,0,0
40,170,150,60,100,60
20,60,30,50,0,0
130,280,130,280,0,0
10,140,10,140,200,140
30,70,30,70,160,140
10,70,10,70,170,190
70,260,70,260,0,0
30,250,40,240,210,90
110,100,100,110,0,0
20,180,40,160,30,110
0,150,30,120,0,0
60,190,70,180,170,110
