Species,Model,AIC,Parameters,negloglike,p0,b1,b2,b3,b4
CS,model14,1651.5768,4,821.7884,-1.07206,0.00137,0.00889,NA,-0.00341
CS,model5,1653.05427,5,821.52714,-1.0617,0.00136,0.00877,-0.00054,-0.00359
CS,model13,1657.32273,3,825.66137,-0.97728,NA,0.01121,NA,-0.0029
CS,model15,1658.96665,4,825.48333,-0.96997,NA,0.01102,-0.00047,-0.00303
CS,model9,1672.09061,3,833.0453,-1.03736,0.00146,NA,NA,-0.00417
CS,model4,1674.08287,4,833.04143,-1.03898,0.00147,NA,0.00007,-0.00415
CS,model8,1679.27968,2,837.63984,-0.93384,NA,NA,NA,-0.00366
CS,model7,1681.26313,3,837.63156,-0.93216,NA,NA,-0.00008,-0.00369
CS,model11,1706.51144,3,850.25572,-1.12497,NA,0.00895,0.00162,NA
CS,model12,1708.49263,4,850.24631,-1.13031,0.00006,0.00888,0.00165,NA
CS,model10,1712.06155,2,854.03077,-1.12262,NA,0.00922,NA,NA
CS,model2,1713.74353,3,853.87177,-1.10176,-0.00023,0.00947,NA,NA
CS,model6,1736.21974,2,866.10987,-1.10995,NA,NA,0.00231,NA
CS,model3,1738.07454,3,866.03727,-1.12512,0.00017,NA,0.00236,NA
CS,model0,1749.56587,1,873.78293,-1.10474,NA,NA,NA,NA
CS,model1,1751.27904,2,873.63952,-1.08387,-0.00024,NA,NA,NA
CF,model11,1920.7634,3,957.3817,-1.91893,NA,0.01217,-0.00578,NA
CF,model15,1921.80823,4,956.90412,-1.94458,NA,0.01135,-0.00485,-0.00033
CF,model12,1922.26733,4,957.13367,-2.03942,0.0005,0.01183,-0.00479,NA
CF,model5,1931.77493,5,960.88747,-2.02226,0.00036,0.00996,-0.00141,-0.0007
CF,model13,1932.53456,3,963.26728,-1.91045,NA,0.01196,NA,-0.00137
CF,model10,1934.33117,2,965.16558,-2.00359,NA,0.01114,NA,NA
CF,model14,1935.97024,4,963.98512,-1.97325,0.00002,0.01121,NA,-0.00051
CF,model2,1936.88491,3,965.44246,-1.97886,-0.00019,0.01133,NA,NA
CF,model4,1982.48572,4,987.24286,-1.86199,-0.00095,NA,-0.00517,-0.0008
CF,model9,1984.85193,3,989.42596,-1.76463,-0.00184,NA,NA,-0.00244
CF,model3,1985.93375,3,989.96688,-1.88395,-0.00134,NA,-0.00373,NA
CF,model6,1986.79188,2,991.39594,-1.93904,NA,NA,-0.0066,NA
CF,model7,1986.90277,3,990.45139,-1.92935,NA,NA,-0.00506,-0.00137
CF,model1,1995.11639,2,995.55819,-1.83611,-0.00195,NA,NA,NA
CF,model8,1997.35869,2,996.67934,-1.92987,NA,NA,NA,-0.00231
CF,model0,2013.41343,1,1005.70671,-2.05377,NA,NA,NA,NA
